5.0, 20.0, 16.0, Fitness, 0, Fatigue, 0, Form, 0
10.0, 12.0, 16.0, Fitness, 64.46970022770543, Fatigue, 42.91088923416232, Form, 21.558810993543112
10.0, 13.0, 16.0, Fitness, 62.934707365141016, Fatigue, 38.619800310746086, Form, 24.31490705439493
10.0, 14.0, 16.0, Fitness, 61.436261951685275, Fatigue, 34.75782027967148, Form, 26.678441672013797
10.0, 15.0, 16.0, Fitness, 59.973493809978486, Fatigue, 31.28203825170433, Form, 28.691455558274157
10.0, 16.0, 16.0, Fitness, 58.54555348116948, Fatigue, 28.153834426533894, Form, 30.391719054635583
10.0, 17.0, 16.0, Fitness, 57.15161173161783, Fatigue, 25.338450983880506, Form, 31.81316074773732
10.0, 18.0, 16.0, Fitness, 58.386097166579304, Fatigue, 33.704605885492455, Form, 24.68149128108685
10.0, 19.0, 16.0, Fitness, 56.99595199594646, Fatigue, 30.33414529694321, Form, 26.661806699003254
10.0, 20.0, 16.0, Fitness, 55.6389055198525, Fatigue, 27.300730767248886, Form, 28.338174752603614
10.0, 21.0, 16.0, Fitness, 54.31416967414172, Fatigue, 24.570657690523998, Form, 29.743511983617726
10.0, 22.0, 16.0, Fitness, 58.04478468190025, Fatigue, 43.2135919214716, Form, 14.831192760428657
10.0, 23.0, 16.0, Fitness, 58.512765998997864, Fatigue, 46.66223272932444, Form, 11.850533269673427
10.0, 24.0, 16.0, Fitness, 57.11960490378363, Fatigue, 41.996009456391995, Form, 15.123595447391637
10.0, 25.0, 16.0, Fitness, 58.259614310836405, Fatigue, 48.2964085107528, Form, 9.963205800083607
10.0, 26.0, 16.0, Fitness, 58.06533777962601, Fatigue, 48.47676765967752, Form, 9.588570119948493
10.0, 27.0, 16.0, Fitness, 58.91378211820635, Fatigue, 52.99909089370977, Form, 5.914691224496579
10.0, 28.0, 16.0, Fitness, 57.511073020153816, Fatigue, 47.69918180433879, Form, 9.811891215815024
10.0, 29.0, 16.0, Fitness, 61.78461890062634, Fatigue, 66.6292636239049, Form, -4.844644723278563
10.0, 30.0, 16.0, Fitness, 60.31355654584952, Fatigue, 59.96633726151441, Form, 0.34721928433511096
10.0, 31.0, 16.0, Fitness, 58.87751948523406, Fatigue, 53.96970353536297, Form, 4.907815949871093
11.0, 1.0, 16.0, Fitness, 59.95186425939515, Fatigue, 58.97273318182667, Form, 0.9791310775684821
11.0, 2.0, 16.0, Fitness, 60.69110558655241, Fatigue, 62.175459863644, Form, -1.4843542770915903
11.0, 3.0, 16.0, Fitness, 61.605603072586874, Fatigue, 65.8679138772796, Form, -4.262310804692731
11.0, 4.0, 16.0, Fitness, 60.13880299943004, Fatigue, 59.28112248955164, Form, 0.8576805098783993
11.0, 5.0, 16.0, Fitness, 58.70692673753885, Fatigue, 53.353010240596475, Form, 5.353916496942375
11.0, 6.0, 16.0, Fitness, 62.07104752950221, Fatigue, 68.01770921653683, Form, -5.94666168703462
11.0, 7.0, 16.0, Fitness, 60.59316544546644, Fatigue, 61.215938294883145, Form, -0.6227728494167053
11.0, 8.0, 16.0, Fitness, 59.15047103009819, Fatigue, 55.09434446539483, Form, 4.056126564703355
11.0, 9.0, 16.0, Fitness, 57.74212648176252, Fatigue, 49.58491001885535, Form, 8.157216462907165
11.0, 10.0, 16.0, Fitness, 56.36731394648246, Fatigue, 44.62641901696982, Form, 11.740894929512642
11.0, 11.0, 16.0, Fitness, 55.02523504299479, Fatigue, 40.163777115272836, Form, 14.86145792772195
11.0, 12.0, 16.0, Fitness, 58.90558658959015, Fatigue, 57.94739940374555, Form, 0.9581871858446007
11.0, 13.0, 16.0, Fitness, 57.503072623171334, Fatigue, 52.152659463370995, Form, 5.35041315980034
11.0, 14.0, 16.0, Fitness, 56.13395184642916, Fatigue, 46.9373935170339, Form, 9.196558329395266
11.0, 15.0, 16.0, Fitness, 57.20219108818085, Fatigue, 52.343654165330506, Form, 4.858536922850341
11.0, 16.0, 16.0, Fitness, 58.340234157509876, Fatigue, 57.609288748797454, Form, 0.7309454087124223
11.0, 17.0, 16.0, Fitness, 56.95118096328345, Fatigue, 51.84835987391771, Form, 5.10282108936574
11.0, 18.0, 16.0, Fitness, 55.59520046415765, Fatigue, 46.66352388652594, Form, 8.931676577631713
11.0, 19.0, 16.0, Fitness, 54.27150521501104, Fatigue, 41.997171497873346, Form, 12.274333717137694
11.0, 20.0, 16.0, Fitness, 52.97932651941554, Fatigue, 37.79745434808601, Form, 15.181872171329523
11.0, 21.0, 16.0, Fitness, 51.71791398323898, Fatigue, 34.01770891327741, Form, 17.70020506996157
11.0, 22.0, 16.0, Fitness, 54.843677936019006, Fatigue, 48.91593802194967, Form, 5.927739914069335
11.0, 23.0, 16.0, Fitness, 53.537876080399506, Fatigue, 44.0243442197547, Form, 9.513531860644804
11.0, 24.0, 16.0, Fitness, 52.2631647451519, Fatigue, 39.62190979777923, Form, 12.641254947372666
11.0, 25.0, 16.0, Fitness, 51.01880367979114, Fatigue, 35.65971881800131, Form, 15.359084861789832
11.0, 26.0, 16.0, Fitness, 49.80407025884373, Fatigue, 32.09374693620118, Form, 17.71032332264255
11.0, 27.0, 16.0, Fitness, 48.618259062204594, Fatigue, 28.884372242581062, Form, 19.73388681962353
11.0, 28.0, 16.0, Fitness, 47.460681465485436, Fatigue, 25.995935018322957, Form, 21.46474644716248
11.0, 29.0, 16.0, Fitness, 46.33066524011674, Fatigue, 23.39634151649066, Form, 22.934323723626076
11.0, 30.0, 16.0, Fitness, 45.2275541629711, Fatigue, 21.056707364841596, Form, 24.170846798129507
12.0, 1.0, 16.0, Fitness, 44.150707635281314, Fatigue, 18.951036628357436, Form, 25.19967100692388
12.0, 2.0, 16.0, Fitness, 43.09950031063176, Fatigue, 17.05593296552169, Form, 26.04356734511007
12.0, 3.0, 16.0, Fitness, 42.0733217318072, Fatigue, 15.350339668969522, Form, 26.722982062837676
12.0, 4.0, 16.0, Fitness, 41.07157597628798, Fatigue, 13.81530570207257, Form, 27.25627027421541
12.0, 5.0, 16.0, Fitness, 40.093681310185886, Fatigue, 12.433775131865312, Form, 27.659906178320576
12.0, 6.0, 16.0, Fitness, 39.13906985041955, Fatigue, 11.19039761867878, Form, 27.948672231740773
12.0, 7.0, 16.0, Fitness, 38.20718723493337, Fatigue, 10.071357856810902, Form, 28.13582937812247
12.0, 8.0, 16.0, Fitness, 37.29749230076829, Fatigue, 9.064222071129812, Form, 28.233270229638478
12.0, 9.0, 16.0, Fitness, 36.409456769797615, Fatigue, 8.15779986401683, Form, 28.251656905780784
12.0, 10.0, 16.0, Fitness, 35.542564941945294, Fatigue, 7.342019877615147, Form, 28.200545064330147
12.0, 11.0, 16.0, Fitness, 34.6963133957085, Fatigue, 6.607817889853632, Form, 28.08849550585487
12.0, 12.0, 16.0, Fitness, 33.87021069581068, Fatigue, 5.947036100868269, Form, 27.92317459494241
12.0, 13.0, 16.0, Fitness, 33.063777107815184, Fatigue, 5.352332490781442, Form, 27.71144461703374
12.0, 14.0, 16.0, Fitness, 32.27654431953387, Fatigue, 4.817099241703298, Form, 27.459445077830573
12.0, 15.0, 16.0, Fitness, 31.508055169068776, Fatigue, 4.335389317532968, Form, 27.172665851535807
12.0, 16.0, 16.0, Fitness, 30.75786337932904, Fatigue, 3.9018503857796714, Form, 26.85601299354937
12.0, 17.0, 16.0, Fitness, 30.025533298868826, Fatigue, 3.511665347201704, Form, 26.513867951667123
12.0, 18.0, 16.0, Fitness, 34.12016345841957, Fatigue, 23.360498812481534, Form, 10.759664645938035
12.0, 19.0, 16.0, Fitness, 33.30777861417148, Fatigue, 21.02444893123338, Form, 12.283329682938103
12.0, 20.0, 16.0, Fitness, 33.44330769478645, Fatigue, 22.82200403811004, Form, 10.621303656676407
12.0, 21.0, 16.0, Fitness, 35.21846703538677, Fatigue, 31.339803634299038, Form, 3.878663401087735
12.0, 22.0, 16.0, Fitness, 34.3799321059728, Fatigue, 28.205823270869136, Form, 6.174108835103663
12.0, 23.0, 16.0, Fitness, 33.561362293925825, Fatigue, 25.38524094378222, Form, 8.176121350143603
12.0, 24.0, 16.0, Fitness, 32.76228223930854, Fatigue, 22.846716849404, Form, 9.91556538990454
12.0, 25.0, 16.0, Fitness, 31.982227900277383, Fatigue, 20.5620451644636, Form, 11.420182735813782
12.0, 26.0, 16.0, Fitness, 37.24455580741363, Fatigue, 43.80584064801724, Form, -6.561284840603605
12.0, 27.0, 16.0, Fitness, 39.143494954856166, Fatigue, 51.12525658321552, Form, -11.98176162835935
12.0, 28.0, 16.0, Fitness, 41.925792694026256, Fatigue, 61.61273092489397, Form, -19.68693823086771
12.0, 29.0, 16.0, Fitness, 40.92755953464468, Fatigue, 55.45145783240457, Form, -14.523898297759892
12.0, 30.0, 16.0, Fitness, 42.834046212391236, Fatigue, 62.006312049164116, Form, -19.17226583677288
12.0, 31.0, 16.0, Fitness, 41.814187969239065, Fatigue, 55.8056808442477, Form, -13.991492875008639
1.0, 1.0, 17.0, Fitness, 40.818612065209564, Fatigue, 50.225112759822935, Form, -9.40650069461337
1.0, 2.0, 17.0, Fitness, 39.84674034937124, Fatigue, 45.20260148384064, Form, -5.3558611344694
1.0, 3.0, 17.0, Fitness, 38.89800843629097, Fatigue, 40.68234133545658, Form, -1.7843328991656051
1.0, 4.0, 17.0, Fitness, 37.97186537828404, Fatigue, 36.61410720191092, Form, 1.3577581763731246
1.0, 5.0, 17.0, Fitness, 37.06777334546776, Fatigue, 32.952696481719826, Form, 4.11507686374793
1.0, 6.0, 17.0, Fitness, 36.18520731343281, Fatigue, 29.657426833547845, Form, 6.527780479884967
1.0, 7.0, 17.0, Fitness, 35.323654758351076, Fatigue, 26.691684150193062, Form, 8.631970608158014
1.0, 8.0, 17.0, Fitness, 34.48261535934272, Fatigue, 24.022515735173755, Form, 10.460099624168961
1.0, 9.0, 17.0, Fitness, 33.66160070792979, Fatigue, 21.62026416165638, Form, 12.041336546273413
1.0, 10.0, 17.0, Fitness, 32.86013402440766, Fatigue, 19.45823774549074, Form, 13.401896278916915
1.0, 11.0, 17.0, Fitness, 32.07774988096938, Fatigue, 17.51241397094167, Form, 14.56533591002771
1.0, 12.0, 17.0, Fitness, 31.313993931422488, Fatigue, 15.761172573847501, Form, 15.552821357574986
1.0, 13.0, 17.0, Fitness, 30.568422647341, Fatigue, 14.185055316462751, Form, 16.383367330878247
1.0, 14.0, 17.0, Fitness, 29.840603060499546, Fatigue, 12.766549784816476, Form, 17.07405327568307
1.0, 15.0, 17.0, Fitness, 31.282493463820988, Fatigue, 20.52989480633483, Form, 10.752598657486157
1.0, 16.0, 17.0, Fitness, 30.53767219087287, Fatigue, 18.47690532570135, Form, 12.06076686517152
1.0, 17.0, 17.0, Fitness, 29.810584757756846, Fatigue, 16.629214793131215, Form, 13.181369964625631
1.0, 18.0, 17.0, Fitness, 33.31509464447692, Fatigue, 32.666293313818095, Form, 0.6488013306588272
1.0, 19.0, 17.0, Fitness, 32.521878105322706, Fatigue, 29.399663982436284, Form, 3.1222141228864224
1.0, 20.0, 17.0, Fitness, 35.29516672186264, Fatigue, 41.35969758419266, Form, -6.064530862330017
1.0, 21.0, 17.0, Fitness, 37.59766275229448, Fatigue, 50.4237278257734, Form, -12.826065073478915
1.0, 22.0, 17.0, Fitness, 36.70248030581128, Fatigue, 45.38135504319606, Form, -8.678874737384781
1.0, 23.0, 17.0, Fitness, 39.09051648900625, Fatigue, 54.54321953887646, Form, -15.452703049870209
1.0, 24.0, 17.0, Fitness, 41.23121847736324, Fatigue, 61.98889758498881, Form, -20.75767910762557
1.0, 25.0, 17.0, Fitness, 40.249522799330784, Fatigue, 55.79000782648993, Form, -15.54048502715915
1.0, 26.0, 17.0, Fitness, 39.291200827918146, Fatigue, 50.21100704384094, Form, -10.91980621592279
1.0, 27.0, 17.0, Fitness, 42.76045795106295, Fatigue, 63.68990633945684, Form, -20.929448388393887
